ip,selfish,total_packet_size
0,0,154581
1,0,175017
2,0,155053
3,0,158132
4,0,150115
5,0,162060
6,1,140311
7,0,146515
8,0,176611
9,0,145647
10,1,154543
11,0,173957
12,0,129923
13,0,133499
14,0,136460
15,0,168633
16,0,117974
17,0,140739
18,0,143746
19,0,147955
20,0,128197
21,0,156532
22,1,133628
23,0,133869
24,0,134435
25,0,138721
26,0,127231
27,0,158315
28,0,179249
29,0,109319
30,0,136996
31,0,106749
32,0,161063
33,0,128901
34,1,125862
35,0,132967
36,0,150651
37,0,163730
38,0,120492
39,0,122196
40,0,152028
41,1,139554
42,0,159437
43,0,116159
44,0,167875
45,0,156883
46,0,162886
47,0,151286
48,0,95258
49,0,137699
50,1,153859
51,0,127800
52,0,139557
53,0,133225
54,0,142957
55,1,186186
56,1,160550
57,0,155506
58,0,151616
59,0,180356
60,0,122896
61,0,140010
62,1,143813
63,0,123360
64,0,146281
65,0,152905
66,0,129208
67,0,192039
68,0,155563
69,0,128161
70,0,174273
71,0,114060
72,0,129577
73,0,143768
74,0,121658
75,0,161220
76,0,120690
77,0,157173
78,0,161456
79,0,165734
80,0,158776
81,0,126275
82,1,163074
83,0,148882
84,0,130452
85,0,150772
86,0,153016
87,0,162546
88,0,127257
89,0,146153
90,0,170585
91,0,140572
92,1,172716
93,0,126621
94,0,117571
95,0,149111
96,0,169002
97,0,164172
98,0,178369
99,0,155529
