ip,selfish,total_packet_size
0,0,83757
1,0,153460
2,0,147052
3,0,139657
4,0,138243
5,0,149827
6,1,117170
7,0,129888
8,0,157671
9,0,139672
10,1,126041
11,0,162985
12,0,134214
13,0,117613
14,0,72276
15,0,165765
16,0,45801
17,0,127522
18,0,131117
19,0,133987
20,0,118908
21,0,150720
22,1,128387
23,0,109855
24,0,123123
25,0,133678
26,0,116330
27,0,54998
28,0,159466
29,0,100937
30,0,128281
31,0,112787
32,0,155136
33,0,120221
34,1,93438
35,0,127422
36,0,147309
37,0,149744
38,0,120492
39,0,108393
40,0,146648
41,1,139554
42,0,119865
43,0,32692
44,0,161005
45,0,139393
46,0,159915
47,0,151286
48,0,86523
49,0,134800
50,1,146119
51,0,124892
52,0,121829
53,0,115137
54,0,117461
55,1,183359
56,1,104712
57,0,126066
58,0,152061
59,0,160948
60,0,118426
61,0,79481
62,1,135894
63,0,120147
64,0,135391
65,0,140425
66,0,125697
67,0,185546
68,0,150447
69,0,121728
70,0,162534
71,0,80378
72,0,124482
73,0,135533
74,0,74243
75,0,131815
76,0,110674
77,0,165468
78,0,148090
79,0,156458
80,0,155885
81,0,117527
82,1,126984
83,0,24221
84,0,95526
85,0,136187
86,0,91268
87,0,143945
88,0,110065
89,0,131507
90,0,164931
91,0,120992
92,1,141021
93,0,123553
94,0,114697
95,0,146232
96,0,163864
97,0,157836
98,0,158479
99,0,147656
