ip,selfish,total_packet_size
0,1,68955
1,0,92890
2,0,94072
3,1,113740
4,0,123064
5,0,95047
6,0,129204
7,0,75563
8,0,102369
9,0,40568
10,0,118285
11,0,62504
12,0,96444
13,1,143320
14,1,112455
15,0,96541
16,0,109095
17,0,113169
18,0,59153
19,0,86276
20,1,130946
21,0,106183
22,0,100410
23,0,66318
24,1,87406
25,0,51112
26,0,144316
27,0,102024
28,0,104083
29,0,103764
30,0,93402
31,0,99771
32,0,94787
33,0,132674
34,0,132173
35,0,82262
36,0,99461
37,0,79313
38,1,69597
39,0,134324
40,0,156393
41,1,104957
42,0,104112
43,0,64439
44,1,83794
45,0,76401
46,0,98825
47,0,93632
48,1,90177
49,0,72224
50,1,58997
51,0,88827
52,0,70862
53,0,126353
54,0,59865
55,0,137307
56,1,89614
57,0,112913
58,0,88772
59,0,75668
60,0,89325
61,0,89307
62,0,85801
63,0,103490
64,0,85855
65,1,117285
66,0,67347
67,0,107894
68,0,103367
69,0,100242
70,0,103344
71,0,68183
72,0,128438
73,0,98269
74,0,101580
75,0,106188
76,0,108995
77,0,107865
78,1,74389
79,1,66988
80,0,69811
81,0,96477
82,0,92637
83,0,117906
84,0,84151
85,0,98020
86,0,104263
87,0,106781
88,0,120803
89,1,106213
90,1,105448
91,0,94409
92,0,67348
93,0,90589
94,0,144634
95,0,50903
96,0,101200
97,1,79594
98,0,125402
99,0,65703
100,0,137520
