ip,selfish,total_packet_size
0,1,140182
1,0,44999
2,1,93302
3,0,70250
4,0,79170
5,1,77822
6,0,123706
7,1,117112
8,1,108309
9,0,88615
10,0,117613
11,1,171354
12,0,81940
13,1,112003
14,1,21437
15,0,65086
16,0,67336
17,1,98317
18,0,109395
19,1,48505
20,1,97432
21,0,80698
22,1,150210
23,0,113061
24,0,131139
25,1,115912
26,1,74939
27,0,46456
28,1,114978
29,0,64979
30,0,76408
31,1,64427
32,0,64901
33,1,126103
34,0,76294
35,0,119788
36,0,84784
37,0,146060
38,0,141377
39,0,104068
40,0,150838
41,1,119427
42,0,55578
43,0,126563
44,0,122070
45,1,82390
46,1,53255
47,0,162683
48,1,76262
49,0,68146
50,0,119117
51,1,43999
52,1,145697
53,0,103742
54,1,166227
55,1,68588
56,1,74640
57,1,36097
58,0,78967
59,1,107800
60,0,65956
61,0,60812
62,0,68033
63,0,74773
64,0,157329
65,1,51183
66,1,97274
67,0,59381
68,0,124348
69,0,76571
70,1,38858
71,1,109851
72,0,33690
73,0,111319
74,1,130268
75,0,86294
76,0,46329
77,1,188110
78,0,147580
79,0,103110
80,0,75044
81,1,95989
82,1,67450
83,0,104808
84,1,80205
85,0,94655
86,1,159290
87,0,44876
88,1,41254
89,0,82556
90,1,106874
91,0,20781
92,1,82329
93,0,100379
94,1,112901
95,1,110072
96,0,152720
97,0,64394
98,1,55857
99,0,73627
